handle;displayName;description;centrality;pageRank;community;insideFollowers;followersCount;followsCount;postsCount
kylehaynes.bsky.social;Kyle Haynes;"Associate Professor of Political Science at Purdue University. Security, conflict, bargaining, US foreign policy. 

https://kyle-haynes.weebly.com/";4,99144631181244e+03;1,17545928972993e-04;4;108;302;405;80
heidimaurer.bsky.social;Heidi Maurer;"#EU foreign policy and #EU politics researcher; 
active learning enthusiast; 
Senior scientist in digital #transformation of public administrations; 
see more on http://heidimaurer.eu/";3,29750527153891e+03;7,34669068784107e-05;4;73;244;227;2
giovannigruni.bsky.social;Giovanni Gruni ;"Director Department of International, European Union and comparative law @ESADE Law School. Speak 🇬🇧🇫🇷🇮🇹🇪🇸. Host @globalpills podcast.    
👉LinkedIn: https://tinyurl.com/47v84pkn 👈 
Former Uni of Oxford 
";6,37364289207922e+04;1,48089768346909e-04;1;181;1845;1656;163
clintpeinhardt.bsky.social;Clint Peinhardt;Political scientist at UT Dallas;2,37904099125601e+02;5,99077527655014e-05;4;39;81;120;2
meanwhileua.bsky.social;Meanwhile in Ukraine;"🇺🇦 An independent media that acquaints the world with Ukrainian culture, history, past and present. 

Fb: fb.com/MeanwhileUA
X: x.com/MeanwhileInUA
YouTube: youtube.com/@MeanwhileUA

Support us: bmc.link/meaninuak
patreon.com/MeanwhileinUkraine";2,58739726830922e+04;1,00767546366248e-04;4;103;8811;5179;1567
emilypawley.bsky.social;Emily Pawley;Environmental historian working on the climate emergency ;2,93669306798430e+04;1,82993039120714e-04;3;182;467;455;98
flavinska.bsky.social;Dr Flavia H Santos;"A neuroscientist at University College Dublin. Funded by European Commission and Irish Research Council. Ad Astra Fellow! [she, her]

Music Science & Math Cognition";5,08694197513859e+04;2,31226990296815e-04;5;282;498;640;23
pablog.bsky.social;Pablo Gastón;Sociologist— labor movements, health care work, culture/economy. Assistant Prof at Michigan. ;2,91758140169754e+03;6,20246317481709e-05;2;48;127;218;0
malpas.bsky.social;Amelia Malpas;political science predoc @ Yale. thesis-ed on progressives in the Democratic Party @ Mount Holyoke '22. parties, factions, inequality. CA + CT.;9,06109330175325e+02;4,67017197896906e-05;4;39;136;266;13
danielascur.bsky.social;Daniela Scur;Torontonian. Economist. Sometimes professorial, (ex?)airplane dweller, rowing enthusiast, whisky lover. Account is mostly whisky, some econ.;2,49773547125556e+02;7,30337917091930e-05;2;42;234;192;153
timok.bsky.social;Timo Kauppinen;Sociologist working as chief researcher at the Finnish Institute for Health and Welfare (THL). Research themes include residential segregation and inequalities in housing conditions etc. https://scholar.google.fi/citations?user=ugpYXZ4AAAAJ&hl;5,25558860158211e+02;4,69286534551809e-05;9;44;128;106;18
pastpunditry.bsky.social;Nicole Hemmer;Historian, writer, podcaster. Associate prof of history at Vanderbilt. Author of PARTISANS and MESSENGERS OF THE RIGHT. Columnist at CNN. Cohost of Past Present and This Day in Esoteric Political History.;2,00587050895520e+04;2,46316235682622e-04;8;207;952;486;6
reutersinstitute.bsky.social;Reuters Institute ;We are part of the University of Oxford. Our mission is to explore the future of journalism worldwide through debate, engagement, and research. ;7,38892128172545e+02;7,17896044421509e-05;4;59;602;51;5
drlarisa.bsky.social;Larisa Heiphetz Solomon;Assistant Professor of Psychology at Columbia studying how kids and adults think about morality, religion, and law. Lover of balloons. Lab website: columbiasamclab.weebly.com;8,69126576968216e+04;2,73323892475504e-04;5;326;587;352;338
bryanpeeler.bsky.social;Bryan Based International Order;"International relations/law University of Manitoba Political Studies; Research Fellow Centre for Defence and Security Studies; Author of The Persistence of Reciprocity in IHL: http://bit.ly/2ISdXMY";3,71901867065856e+03;7,47680072326304e-05;4;58;158;183;306
elliegadjanova.bsky.social;Elena Gadjanova;Political scientist at Exeter. Ethnic politics, political communication, and social media in Africa. Writing a book on cross-ethnic outreach in highly diverse states.;1,15022712099607e+04;8,56076241269286e-05;4;80;205;294;14
ylelkes.bsky.social;Yphtach Lelkes;associate professor, University of Pennsylvania;3,41465213419008e+03;1,11752524657953e-04;4;97;208;113;16
olivergraf.bsky.social;Oliver Graf;"#ecology #politics #biosphäre #umwelt #politik #partizipation 
Ehemals https://twitter.com/olivergraf/";8,20770767305968e+03;6,26282810533421e-05;4;55;437;476;27
ramyologist.bsky.social;Ramy Youssef;"historical/cultural/political sociologist. current research: sociology of imitation, text mining methods, semantics;
also: vinyl records & typewriters";1,29846384015197e+04;8,22317467742632e-05;4;87;361;330;87
labaldez.bsky.social;Lisa Baldez;Political scientist at Dartmouth. I love textiles, my grandson, the beach and a million other things. ;8,34658814580663e+02;7,38697907494645e-05;4;55;134;79;1
markstout.bsky.social;Mark Stout;Intelligence historian, former intelligence officer. Also live on the borderlands of military history. Former Historian at the International Spy Museum. University educator. I wish I were in Seattle. The cat is Boadicea.;2,49291065689478e+04;1,18278744793331e-04;4;103;645;767;276
emoryrchrdsn.bsky.social;Emory Richardson;"cognitive scientist & intellectual omnivore

studies: collaboration & intuitive theories. 

into: cumulative culture, networks, philosophy of science/mind/bio, language. Also kettlebells.

postdoc @UMich | past : @Yale @UChicago @stjohnscollege. ";1,03566866554543e+05;2,34131395198011e-04;5;274;460;909;38
frederikaust.com;Frederik Aust;Postdoctoral reseacher at the Psychological Methods group, University of Amsterdam. Interested in Bayesian statistics, mathematical models of cognition, and computational reproducibility. I develop R packages and obsess about coffee.;6,70044063861363e+03;1,33815875794286e-04;5;161;312;263;12
vidyakumar.bsky.social;VidyaKumar 🕵️🪐🚀💫⚖️🇵🇸;Critic, Lawyer, Senior Lecturer in Law, DPhil (Oxon) @SOASLaw School, London UK, ✍🏾 on revolution, International & Constitutional Law, Space Law, Legal Theory & History, Law+Lit , Feminist, Co-founder of Race &The UK Constitution Association (She/Her) ;1,09989537709902e+05;2,49393825820113e-04;1;251;709;942;92
thestrugglings4.bsky.social;The Struggling Scientists;"🤩Science & PhD Life Podcast
🤣PhD Memes
👕Science Merch
📰PhD related Blogs

🔗:  thestrugglingscientists.com

Join 680+ academics who read our biweekly newsletter here-->
thestrugglingscientists.com/newsletter";8,85919118946744e+04;8,80936679150874e-05;5;113;547;1330;92
ginopauselli.bsky.social;Gino Pauselli;Postdoc at Princeton. PhD in Political Science (Penn). Incoming Assistant Professor UIUC Political Science. I study human & LGBT rights, international law & organizations, transnational civil society, and border politics.;1,21465125638020e+03;5,43748094110430e-05;4;40;92;98;16
iliasalami.bsky.social;Ilias Alami;"Assistant prof political economy 
Cambridge University
Author: Money Power in Emerging Markets
The Specter of State Capitalism (out in 2024!)
Co-editor Developing Economics 
Member Second Cold War Observatory";2,50606298644353e+04;1,43839285148425e-04;4;138;507;415;13
mlatner.bsky.social;Mike on the Mic;"Mike Latner
Political scientist @CalPoly
Senior Fellow @UCS
Working on electoral system design. And tacos.";3,22307758157879e+03;7,49613154401664e-05;4;57;160;195;39
sjjphd.bsky.social;Sarah J. Jackson;"Professor studying the role of Media & Tech in Social Movements @AnnenbergPenn | Co-director Media, Inequality & Change Center

Opinions definitely my own. ";7,61625541257459e+04;1,08539687509866e-03;3;469;3211;465;1255
robshum.bsky.social;Rob Shum;"Public policy (#climate/energy policy, more specifically) & #IR prof (but also ex-🇨🇦-#trade diplomat). PoliSciSky 🗺️, GreenSky 🌱, 🔌💡.
Cf. same handles on birdsite, post.news/@/robshum & mastodon.social/@robshum ";2,32750843363515e+04;1,40127650260982e-04;7;120;444;353;312
brycecovert.bsky.social;Bryce Covert;Journalist writing about the economy. Contributing writer at The Nation, member of the Freelance Solidarity Project. she/her;8,66664656539013e+02;1,57805430902549e-04;2;93;908;122;229
iremaydas.bsky.social;İrem Aydaş;PhD student in Political Science @sabanciuniv | www.iremaydas.com | she/her 🏳️‍🌈;9,96405738021491e+02;4,25251412409470e-05;4;39;91;185;0
rachelmcohen.bsky.social;Rachel Cohen;"Vox reporter - covering social policy + politics

@rmc031 on twitter ";8,58358844592547e+03;3,54907243009361e-04;2;233;2556;285;80
joelleforestier.bsky.social;Joel Le Forestier;"Postdoc in social psychology at Cornell studying intergroup relations. He/him. 🏳️‍🌈
🌐: joelleforestier.com
🧵: @joel_le_forestier
🐦: @JoelLeForestier";5,61155159157476e+03;1,50495350600063e-04;5;169;335;326;49
bendouglas.bsky.social;Benjamin Douglas;"I am a social psychology PhD student at UW–Madison working with Dr. Markus Brauer. I study social norms and persuasive messaging, particularly in the context of sustainability. 🏳️‍🌈

Website: https://benjaminddouglas.com/";1,52625374761934e+04;1,00230327024577e-04;5;124;215;326;16
timosin.bsky.social;Timo Sinervo;Research professor in THL Finnish Institutefor Health and Welfare. Research of health and social services, organizations, workforce. Labour union representative of highly educated public sector professionals;1,32634939283278e+03;4,99922027262714e-05;9;42;152;254;103
przechomski.bsky.social;Leona Przechomski;PhD candidate in Sociology at @UniCologne studying migration and integration using quantitative methods.;3,01720763307155e+02;4,03617670979544e-05;2;34;82;98;3
danielrmorrison.bsky.social;Dan Morrison (he/him);Sociologist of science, technology, and medicine. Currently writing on antiblackness in higher ed, TBI, white ignorance. A host of The Annex, a sociology podcast. Department chair and runner. ;1,06047992508308e+04;6,93287790908954e-05;2;71;203;309;108
sturunen.bsky.social;Sanni T. Turunen;Finnish geochemist. Working with flood basalts, mantle geochemistry, Antarctica. Otherwise biodiversity, nature, forest, seas and seasons. History near and far. Sourdough and mushroom picking.;5,15223647086284e+03;5,80267963646171e-05;9;51;235;278;174
aidanmcglynn.bsky.social;Aidan McGlynn;Glaswegian philosopher based at the University of Edinburgh, mostly working on issues in epistemology and feminist philosophy. Tweeting in a personal capacity. He/him. ;1,98781318495271e+04;2,09009081754199e-04;3;241;704;349;1136
davidrarmitage.bsky.social;David Armitage;"@Harvard_History professor. Honorary fellow @Catz_Cambridge
scholar.harvard.edu/armitage/home";1,64722382902398e+04;1,93290889471056e-04;8;176;614;247;7
alexr.bsky.social;Alex Rubinsteyn;"personalized cancer immunotherapy = genomics + immunology + machine learning + oncology

(pirl.unc.edu)";1,61293556151850e+04;1,17784445553549e-04;7;123;836;625;586
chelseaparlett.bsky.social;Chelsea Parlett-Pelleriti;Ph.D, stats lover/writer✍🏼, #statistics #scicomm #datascience #statstiktok 👩🏻‍💻 she/her ;1,71899348836225e+04;4,16461149944372e-04;5;316;1364;153;116
bierjess.bsky.social;Jess Bier;"Associate professor of urban sociology
Erasmus University Rotterdam

PI of DIGIPORTS project on digitalization + racialization in maritime logistics

Book: “Mapping Israel, Mapping Palestine: How Occupied Landscapes Shape Scientific Knowledge”";2,24536212377546e+04;1,12161206720080e-04;3;91;274;283;46
scottclaessens.bsky.social;Scott Claessens;Postdoctoral Research Fellow at the University of Auckland, interested in the evolution of cooperation, politics, and culture.;7,93794326253529e+03;9,05017182855057e-05;5;98;166;205;8
crystalennis.bsky.social;Crystal A. Ennis;"academic & author writing about labour & development in global political economy

🇨🇦🇴🇲🇳🇱

https://www.crystalennis.com/";3,42448839054107e+03;7,16398375974895e-05;4;58;222;202;115
pjost.bsky.social;Pablo Jost;"Communication scholar @ifpmainz.bsky.social 
currently interim professor @ifkw.bsky.social
co-founder @ BAG »Gegen Hass im Netz«

(social) media, journalism, politics, extremism

https://www.polkom.ifp.uni-mainz.de/pablo-jost/";3,06981083726538e+03;9,25206832633080e-05;4;91;364;318;43
jentaub.bsky.social;Jen Taub;Law professor & author of BIG DIRTY MONEY and OTHER PEOPLE’S HOUSES;5,53324661338041e+03;3,43261330027957e-04;1;225;4066;262;50
doctorspurt.bsky.social;David Spurrett;Philosopher, working on evolution of mechanisms of action selection, and their situated subversion. https://philpeople.org/profiles/david-spurrett;3,45866046518527e+04;1,73920289929633e-04;3;197;407;468;185
jmigozzi.bsky.social;Julien Migozzi;"Economic geographer, Postdoctoral Fellow at Oxford University. 
I study how digital technologies transform financial & housing markets and reshape inequalities, mixing computational & qualitative methods. 
📍 London
🔗 jmigozzi.github.io";7,98136508577503e+03;8,00092527793582e-05;4;71;234;274;9
michaeljkane.bsky.social;Michael J. Kane;"Posts: personal capacity. PSY/open science, working memory, attn, mindwandering (also edu; skepticism). Living well with #Tourette. (Also am ProfessorPowerPop on Xitter.) Art: Miles Johnston; Haring ";5,23730513451862e+04;2,71138478784626e-04;5;325;644;833;131
christinafattore.bsky.social;Christina Fattore;Political science professor, tweets about motherhood, romance novels, ADHD, and sometimes political science.;5,07818536815001e+03;1,22827501580259e-04;4;113;316;282;80
timwapps.bsky.social;Tim Wappenhans;"PhD student at Humboldt University Berlin and DYNAMICS Research Training Group

timwappenhans.com";4,73408215513941e+02;5,32618049031893e-05;4;44;108;136;1
schlickw.bsky.social;Will Schlickenmaier;Teacher of international relations and foreign policy.  Card carrying member of the Deep State.  Dad, husband, Nationals and Hoyas fan, wishing I had more time to write and think.  Realist constructivism uber alles.;1,11518962014441e+04;1,09821278747028e-04;4;99;353;619;174
timglawion.bsky.social;Tim Glawion;"co-EIC AfricaSpectrum / researcher ABI, associate GIGA_Institute
 
Subjective security, conflict, peripheries, development, comparison / Centrafrique, Lebanon, Somaliland, Haiti
Author Security Arena in Africa (CUP, 2020)";2,41951102628187e+03;5,12540049915495e-05;4;43;134;245;4
mirkoheinzel.bsky.social;Mirko Heinzel;Research fellow @ LSE | IPE, IOs, Global Politics;2,17386013344102e+03;6,75043269860594e-05;4;59;154;191;0
nicklewis.bsky.social;Nick Lewis;PhD candidate at LSE, interested in politics and social media. Long-suffering Hibs fan, bicycle racer, and 🏴󠁧󠁢󠁳󠁣󠁴󠁿 in London.;1,10890708151500e+03;4,35998763685864e-05;4;32;75;141;4
polneuro.bsky.social;Darren Schreiber;Using the tools of neuroscience to study political thinking. Developing research showing that Your Brain is Built for Politics.;1,04081800950673e+03;5,09254672881115e-05;4;33;70;80;4
kevinweiluo.bsky.social;Kevin Wei Luo;asst prof in poli sci, university of minnesota - twin cities. china / taiwan / asia, politics of state building. 中英俱劣;1,23464847243718e+03;5,04528991341053e-05;4;39;137;154;2
valmasdel.bsky.social;Valérie Masson-Delmotte;PhD, climate scientist @CEAParisSaclay @IPSL_outreach. I like birds, books, e-bike commuting. Vegetarian.;2,06694349043900e+04;2,04247754874971e-04;7;162;3846;385;3
thephdplace.bsky.social;The PhD Place;"Your Academic Community  🎓  Sharing weekly guides 📚 Host of the #PhDWritingClub online writing group ✍️

https://linktr.ee/thephdplace";2,39828126977172e+05;1,55726420858341e-04;5;214;1187;1788;184
sociologicalreview.bsky.social;The Sociological Review;"📖 Publishing sociological research for over a century.
https://www.thesociologicalreview.org/";7,63696927681572e+03;1,01450348078177e-04;4;118;578;141;133
perlinedemange.bsky.social;Perline Demange;"Postdoctoral fellow at PROMENTA, University of Oslo. 
Genetics – Intergenerational Transmission of Inequalities – Mental Health – Education
https://perlinedemange.github.io/ ";3,79696184195115e+03;5,45440416046395e-05;2;46;145;191;9
jeffrlin.bsky.social;Jeffrey Lin;Economist studying cities, regions, and growth. West Philly dad. Views are my own. https://jlin.org/;6,90728047153617e+02;9,11594163462471e-05;2;58;353;164;32
kylefbutts.bsky.social;Kyle Butts;"econ PhD student at CU Boulder

https://kylebutts.com/";1,10775035903429e+02;7,15541955564651e-05;2;57;364;27;29
ucrpolisci.bsky.social;UCR Political Science;Official account for the Political Science Department at the University of California, Riverside. https://politicalscience.ucr.edu/;2,84163746931108e+02;4,48513501172756e-05;4;31;97;121;22
dancassino.bsky.social;Dan Cassino;Political scientist at FDU, Executive Director of the FDU Poll, studying masculinities and research methods. Writes questions for The Great American Pop Culture Quiz Show.;2,22494683630904e+03;7,49262323248075e-05;4;63;351;240;734
mikegoldfien.bsky.social;Mike Goldfien;Assistant professor at the U.S. Naval War College | Political science & IR | Fomerly Yale, Stanford, Grinnell College | Views my own | mgoldfien.com;9,18088295449481e+02;6,96436601305196e-05;4;53;112;167;6
jimclifford.bsky.social;Jim Clifford;History professor at the University of Saskatchewan. Mostly researching environmental history of the British World in the 19th century. Often distracted by the climate emergency and determined to make history part of the solution. He/Him;8,81365203484181e+04;2,34941081421008e-04;3;259;782;907;349
snepstad.bsky.social;Sharon Erickson Nepstad;Professor of Sociology, University of New Mexico, social movements, protest, revolutions, religion, nonviolence/civil resistance - and guardian of way too many pets and plants;2,60409182998695e+03;4,92528972283081e-05;2;45;142;192;4
abegoldberg.bsky.social;Abe Goldberg;Political science teacher-scholar. Civic & community engagement. Democracy. Placemaking. Higher Ed. Relatively funny.;2,27441740638202e+03;5,66899195270086e-05;4;45;116;210;33
vsapiro.bsky.social;Virginia Sapiro;Retired political scientist who still scholars. Also make believe I'm a historian, farmer, cook, baker. I do love democracy, knowing stuff, look at art, listening to music. Exploring the history of higher education in the U.S.;4,80925287413291e+04;2,21651362624935e-04;4;199;493;763;767
mslopen.bsky.social;Meredith Slopen ;Post-Doc: CUNY Grad Center Stone Center on Socio-Economic Inequality. PhD: ColumbiaSSW. Studying labor policy, women's employment, economic security, and health. Zinemaker. Can sometimes be found playing music. www.meredithslopen.org;3,55244062270008e+03;6,05800847884363e-05;2;40;139;226;39
jacobsgoldin.bsky.social;Jacob Goldin;tax/law/econ/lake michigan;1,21446584744155e+03;8,56615923870551e-05;2;46;118;131;0
ericdknowles.bsky.social;Eric Knowles;Social and political psychologist. NYU professor. Music appreciator. Californian in Manhattan.;8,03089735418324e+03;1,28189436361834e-04;5;144;360;104;15
henrikdku.bsky.social;Henrik D Kugelberg;British Academy Postdoctoral Fellow in political theory at London School of Economics. Working on the political philosophy of artificial intelligence, public reason, and the digital public sphere.;2,96087590743613e+03;6,12139086936686e-05;3;49;166;129;1
tomaashby.bsky.social;Tom Ashby;Intellectual history, political thought, & early modern worlds • Co-organiser, Association for Global Political Thought, Harvard • Social Media Editor, @global-ih.bsky.social • PhDing EUI • Devonian in Florence • autistic;6,23859907315699e+04;2,78419263435430e-04;8;261;805;467;134
msuarez.bsky.social;Mauricio Suárez;"Professor @ UCMadrid, educated @ Edinburgh & LSE, now often @ Cambridge. History and philosophy of probability, astrophysics, chemistry, quantum, life sciences

https://sites.google.com/ucm.es/mauriciosuarez";5,16935659989414e+03;1,25392544706842e-04;3;139;277;213;53
kenmiller4.bsky.social;Ken Miller;Asst Professor of Political Science at UNLV studying money, messages, and representation;9,02258102825876e+02;6,76846035545528e-05;4;47;117;63;11
bretdevereaux.bsky.social;Bret Devereaux;"Ancient & military historian specializing in the Roman economy and military.  PhD from UNC History. More impressive credential is that I have beaten both Dark Souls and Elden Ring.

Blogs at acoup.blog";1,34716826455732e+04;2,02745558450131e-04;3;197;3219;150;674
docfreeride.bsky.social;Janet D. Stemwedel ;Academic philosopher, lapsed chemist, occasional science writer, perpetual ethics booster. All views my own. (she/her);1,38557536740615e+05;4,33756684146898e-04;7;334;1079;922;1042
gulayturkmen.bsky.social;Gülay Türkmen;Sociologist, researcher, writer, editor, teacher, academic nomad;3,98554759125696e+03;5,71384560553074e-05;4;48;268;166;25
larryglickman.bsky.social;Larry Glickman;Historian at Cornell University and author, most recently, of FREE ENTERPRISE: AN AMERICAN HISTORY. Working on a history of backlash politics in the United States, from Reconstruction to the present. ;5,59238529141504e+04;3,45527569500097e-04;8;278;1384;621;437
cyrillotteni.bsky.social;Cyrill Otteni ;"Political science 
@tudresden_de
@ForumMIDEM
With a focus on gender equality, participation & the far right";4,19993684682867e+02;4,71013248469922e-05;4;43;105;160;0
drkateperry.bsky.social;Dr. Kate Perry;Gender and security scholar studying human trafficking, sanctions, and women in all the places, Assistant Professor at Georgia Southern University, social activist, tired feminist, and mother of 3 ❤️ ;1,69377700156742e+04;1,28389185876041e-04;4;137;388;357;337
huwcdavies.bsky.social;Huw Davies;Lecturer in Digital Education (Data & Society) @ University of Edinburgh. Background in Sociology & Web Science. Interested in many academic disciplines & topics. Currently researching backlash against social justice. Also enjoy cycling, running, & rugby. ;1,22039899811902e+04;9,03348497977646e-05;3;79;328;325;286
lefteleven.bsky.social;Joseph MacKay;"Canuck in Oz. Fellow/Sr. Lecturer, IR, ANU. IR theory, empire, history of intl. thought. He/him. Book, ""The Counterinsurgent Imagination."" https://bit.ly/3h86v4Y";2,89261844804744e+04;1,29206219682036e-04;4;119;367;749;180
lmnovaes.bsky.social;Lucas Novaes;"Associate professor, Insper. Political economy, comparative politics. UC Berkeley grad.

lucasmnovaes.com";5,66141013846267e+02;5,32336930930264e-05;4;43;122;121;0
michaelvaughan.bsky.social;Michael Vaughan;Researcher currently working on (wealth) inequality and communication | Leverhulme Early Career fellow at LSE’s International Inequalities Institute;8,96249606082037e+02;4,39863862506515e-05;4;36;79;117;0
klaramueller.bsky.social;Klara Müller;Political Scientist | PhD candidate at the University of Mannheim & MZES | Interested in all things political psychology, electoral behaviour and quantitative methods. ;4,06711471720637e+02;4,04350348432505e-05;4;33;110;144;0
emmanorris.bsky.social;Emma Norris ;Deputy Director of @instituteforgov. Think tanker. Westminster watcher. Walthamstow resident. 🏳️‍🌈;1,09254787421643e+03;1,09077803073636e-04;4;75;927;175;26
vehkoo.bsky.social;Johanna Vehkoo;Journo, non-fiction author, fact-checking & verification enthusiast, expert in online fakery. Speaker & trainer. Formerly: founder & editor of Long Play, fellow at RISJ & Wilson Center, professor of practice in journalism at Tampere Uni.;8,57328946976902e+00;5,18244041500559e-05;9;39;527;16;4
achimkemmerling.bsky.social;Achim Kemmerling;Social scientist, political economy, development and social policy;1,00052004628302e+03;4,11719606014341e-05;4;32;73;99;10
paturley.bsky.social;Patrick Turley;"Assistant Research Prof. at USC. Economics/statistical-genetics researcher. Board gamer. (Who wants to play a hand of Hanabi?) he/him/his

paturley.com";2,20562718670986e+03;5,03594346171604e-05;2;33;146;121;1
stevesilberman.bsky.social;Steve Silberman;"Award-winning science writer, author of the New York Times bestseller ""NeuroTribes: The Legacy of Autism and the Future of Neurodiversity,"" and an upcoming book on cystic fibrosis, ""The Taste of Salt.""";7,64368818194317e+04;6,02106524855612e-04;3;414;7683;801;1489
k8henne.bsky.social;Kate Henne;Prof @ The Australian National University working on regulating science + tech for equity, health, + safety. Fur parent, foodie, + fan of the Oxford comma. Also sport. katehenne.com;1,92029979080507e+04;1,15664991277594e-04;3;107;301;301;49
jo-kuenzler.bsky.social;Johanna Kuenzler;PhD, political scientist. Policy process theories, special focus on Narrative Policy Framework. More info: www.johanna-kuenzler.com;4,23806084231983e+03;6,32599870042276e-05;4;48;155;214;15
maxkennerly.bsky.social;Max Kennerly;"17 years in court as a law-talking guy for plaintiffs, now a mix of stuff. Posts too much about politics.

email max@kennerlylaw.com";8,80077658827784e+04;8,90952603171230e-04;3;473;17988;715;1491
theolenoir.bsky.social;Théophile Lenoir;"PhD candidate on everything objectivity at the University of Milan, affiliated with the Sciences Po médialab and think tank Institut Montaigne.

I'm interested in science and technology studies, media studies & CO2 in tech. ";2,02072942075593e+04;9,70648286472583e-05;3;88;322;410;13
ottocr.at;Chris Kendall;Anglo-Schwäbisch eurocrat | maker of EU foreign policy & spätzle | guerrilla knitter | cross-Channel commuter | on Mastodon as @ottocrat@eupolicy.social | ceterum censeo ultima dextera percidenda esse;6,36073398435791e+03;7,95390921580440e-05;4;63;1412;558;1013
relativedevianz.bsky.social;Lena K. Dahlhaus;lecturer @UniOldenburg 📚 statistics, #rstats, didactics, survey methodology & natural language processing;5,01829836310861e+03;5,50465636368048e-05;4;48;125;216;2
gesineweber.bsky.social;Gesine Weber;"European defence (EU, France, UK, Germany) & geopolitics. 

Fulbright-Schuman Visiting Researcher at Arnold A. Saltzman Institute for War and Peace Studies, Columbia University, & PhD candidate at Defence Studies Department, KCL. Matcha and sunrise lover.";4,41940187661453e+03;9,74373475546254e-05;4;75;776;310;229
kitdeming.bsky.social;Kit Deming ;Assistant Professor and Analyst at USAFA/OLEA. Researching entrepreneurship, labor, public policy, and regional economics. kdemingecon.com;1,95536448828877e+03;7,36804159209313e-05;2;48;184;291;95
selinkoksal.bsky.social;Selin Köksal;Postdoctoral researcher at Institute for Social and Economic Research, University of Essex | Social demography, fertility, reproductive experiences 🧐;2,63476078532776e+02;4,89527457753090e-05;2;39;116;87;2
carlammm.bsky.social;Carla Martinez Machain ;"Professor of Political Science at #UBuffalo; international security and foreign policy; #RiceU PhD; foodie; mexicanita";7,31837188084174e+03;1,30347793951863e-04;4;127;368;353;84
popassocamerica.bsky.social;Population Association of America;PAA is a non-profit, scientific, professional organization that promotes and supports research on population issues.;1,22079454500048e+03;9,94153496456001e-05;2;92;334;114;9
emhernandez.bsky.social;Elaine Hernandez;Medical sociology (PhD), health policy (MPH), & health demography. I study the social, structural, & biological processes perpetuating health inequities.;1,79102344289702e+03;7,58930651519251e-05;2;64;186;128;18
jaricheson.bsky.social;Jennifer Richeson;"professor of social psychology with a focus on race, diversity, & societal inequality; political junkie; the beach is my happy place; views are my own";5,22469613714141e+03;2,70919378759447e-04;5;300;667;51;20
iwashyna.bsky.social;Jack Iwashyna;"I work at Johns Hopkins to help patients + their loved ones heal from critical illness. I mentor clinicians and other scholars to become exceptional scientists.

Democracy is good.

Other stuff #ICU #PublicHealth #Sociology #HealthEquity #Justice #Balt";2,83847118980779e+04;1,51512040467779e-04;7;117;574;727;966
simoncolumbus.bsky.social;Simon Columbus;Behavioural scientist at MIT | Cooperation, institutions, occasional ventures into personality | https://simoncolumbus.com;8,80898725139176e+03;9,49556999540387e-05;5;105;229;225;81
benlockwood.com;Ben Lockwood;"Business Economics and Public Policy prof at Wharton. Optimal taxation, inequality, and behavioral economics. 

benlockwood.com
https://bepp.wharton.upenn.edu/profile/benlo";1,39989027375993e+03;8,50730730378524e-05;2;46;225;270;19
raulpachecovega.bsky.social;Raul Pacheco-Vega;Professor @ FLACSO Mexico. I study comparative public policy, water governance, waste management, public administration, environmental politics, homelessness, eldercare and care work, mixed/experimental methods. ;1,03447489207289e+05;1,88260463383135e-04;3;222;829;750;102
osmansabrikiratli.bsky.social;Osman Sabri Kiratli;"Associate professor of International Relations @UniBogazici, AvH Fellow @WZB_Berlin, PhD @umasspolsci, IEL'99, public opinion on international cooperation and conflict, board games, hi-fi, NBA

http://www.osmansabrikiratli.com/
";3,38155598283449e+02;4,43739384779120e-05;4;34;71;110;8
paulbloomatyale.bsky.social;Paul Bloom ;Psychologist who studies and writes about human nature—including morality, pleasure, and religion. Sustack: https://smallpotatoes.paulbloom.net/;3,01024308431794e+04;3,52230698380355e-04;5;406;1156;218;31
felipedebrigard.bsky.social;Felipe De Brigard;Fuchsberg-Levine Family Associate Professor of Philosophy, Psychology and Neuroscience at Duke University. Director of the Imagination and Modal Cognition Lab - www.imclab.org. Pun aficionado. (he/him/el);4,78543263938719e+04;3,26342515499090e-04;5;347;678;473;129
giovannipagano.bsky.social;Giovanni Pagano ;political scientist - postdoc @ university of Milan IT - 90% work stuff;5,99382105724931e+02;4,09468042012277e-05;4;37;75;138;1
janchibrugiks.bsky.social;Jānis B;Observing the horizon: delving into global affairs – geopolitics, security, climate change, technology, democracy, EU and more – through a Baltic and European lens. Opinions are solely mine. 🇱🇻🇪🇺🇺🇦;2,70116021255980e+04;6,00970857844559e-05;4;47;299;1619;111
jnfrltackett.bsky.social;Jennifer Tackett;Psychology professor into kid personality and its various manifestations. Also entrepreneurship, leadership, construct validity, and nachos. ;1,05817115836789e+04;2,04048280191375e-04;5;227;566;188;97
cklamm.bsky.social;Christopher Klamm 🍀;"👨‍🔬 NLProc & CompPolSci (UMannheim) 
🚀 http://tada.cool co-organizer
🎓 MSc CS & MA PolSci (TU Darmstadt)
✨ NLProc, rhetoric & open science
👣 prev. CompPolCologne, BigScience, UKPlab & COSS_eth
🎄 https://linktr.ee/chkla";7,21458589028275e+02;4,63742608128679e-05;4;40;106;135;4
